                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.75649,                 0.3809,                 1.0192,                0.85722,                 0.8488,                0.82782,                0.70112,                0.65766,                  1.128,                 0.9524,               0.007789,               0.007789,               0.007789
                     70,                0.76236,                0.38147,                 1.0224,                0.85706,                0.85803,                0.81496,                0.69715,                0.61613,                 1.1542,                 0.9365,               0.007756,               0.007756,               0.007756
                     71,                0.75328,                0.37728,                 1.0176,                0.85913,                0.85762,                0.82562,                0.70108,                0.64883,                 1.1993,                0.95331,               0.007723,               0.007723,               0.007723
                     72,                0.75627,                0.37989,                 1.0181,                0.85404,                0.86145,                 0.8243,                0.67283,                0.70517,                 1.2018,                0.97539,                0.00769,                0.00769,                0.00769
                     73,                0.75732,                0.38126,                 1.0168,                0.85103,                0.85867,                0.82044,                0.69312,                0.66897,                  1.167,                0.95739,               0.007657,               0.007657,               0.007657
                     74,                0.75594,                0.38049,                 1.0129,                0.85565,                0.86065,                0.82439,                0.69381,                0.66826,                 1.1856,                0.96051,               0.007624,               0.007624,               0.007624
                     75,                0.74142,                0.37155,                 1.0105,                 0.8544,                 0.8567,                0.81258,                0.69328,                 0.6284,                  1.266,                0.94193,               0.007591,               0.007591,               0.007591
                     76,                0.74466,                0.37237,                 1.0149,                0.85736,                0.85275,                0.82705,                 0.7027,                0.66164,                 1.1937,                0.95239,               0.007558,               0.007558,               0.007558
                     77,                0.75122,                0.37943,                 1.0187,                0.85472,                0.85934,                0.82274,                0.71053,                0.61031,                 1.2033,                0.93877,               0.007525,               0.007525,               0.007525
                     78,                0.74247,                0.37128,                 1.0136,                0.85702,                0.85802,                0.83535,                 0.7179,                0.61842,                 1.1641,                0.93922,               0.007492,               0.007492,               0.007492
