                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 3.3477,                 5.1065,                 3.8664,                0.00393,                 0.0533,                0.00704,                0.00395,                  3.253,                  5.162,                 3.8644,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                 3.4086,                 5.1394,                 3.8804,                0.00521,                0.05349,                0.00643,                0.00324,                 3.2538,                 5.1579,                 3.8622,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                 3.4166,                 5.0862,                 3.8773,                0.00153,                0.03592,                0.00245,                0.00088,                 3.2562,                  5.159,                 3.8629,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                 3.4248,                 5.0845,                 3.8376,                 0.2978,                 0.0058,                0.00233,                0.00078,                 3.2535,                  5.148,                 3.8602,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                 3.3334,                 5.0968,                 3.8694,                0.00555,                0.03941,                0.00528,                0.00172,                 3.2468,                 5.1301,                 3.8549,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                 3.3811,                 5.0563,                 3.8335,                0.00312,                0.04779,                 0.0055,                0.00172,                  3.249,                 5.1111,                 3.8483,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                 3.4064,                 5.0537,                 3.8555,                0.00225,                0.05012,                0.00552,                0.00197,                 3.2481,                 5.1027,                 3.8433,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                  3.373,                 5.2107,                 3.8738,                 0.0021,                0.05587,                0.00552,                0.00189,                 3.2464,                 5.0963,                 3.8384,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                 3.3402,                 5.0916,                 3.8362,                0.32846,                0.00355,                0.00592,                0.00214,                 3.2424,                 5.0894,                 3.8341,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                 3.3069,                 5.1575,                 3.8574,                0.30082,                 0.0036,                0.00491,                0.00186,                 3.2388,                 5.0764,                 3.8301,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                 3.4252,                 5.0819,                 3.8154,                0.31418,                0.00302,                0.00455,                0.00177,                 3.2376,                 5.0677,                  3.825,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                 3.3067,                 5.0641,                 3.8222,                0.00212,                0.06491,                0.00553,                0.00226,                 3.2273,                 5.0639,                 3.8241,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                 3.3257,                  5.057,                 3.8331,                0.00216,                0.06458,                0.00484,                0.00221,                 3.2279,                 5.0641,                  3.824,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                 3.4103,                 5.0278,                 3.8335,                 0.0024,                0.06068,                 0.0049,                0.00233,                 3.2271,                 5.0577,                 3.8238,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     83,                 3.3418,                 5.0552,                 3.8192,                0.14169,                0.02459,                 0.0048,                 0.0022,                 3.2248,                 5.0661,                 3.8256,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                 3.4154,                 5.0573,                  3.819,                0.00252,                0.06232,                0.00492,                0.00222,                 3.2216,                 5.0685,                  3.826,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                 3.3835,                 5.0729,                 3.7964,                0.00221,                0.06299,                0.00463,                0.00202,                 3.2181,                 5.0671,                 3.8239,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                 3.3982,                 5.0853,                 3.8224,                0.01639,                0.07133,                0.01225,                0.00281,                 3.2159,                 5.0845,                 3.8217,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                 3.3032,                 5.1518,                 3.8038,                0.00211,                 0.0686,                0.00441,                0.00171,                 3.2171,                 5.0834,                 3.8192,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                 3.3285,                 5.1419,                 3.8132,                  0.002,                0.06646,                0.00434,                0.00164,                 3.2146,                 5.0832,                 3.8167,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                  3.435,                 5.0808,                 3.8285,                0.01605,                 0.0651,                0.01187,                0.00243,                 3.2165,                 5.0932,                 3.8169,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     90,                 3.3993,                 5.0352,                 3.8122,                0.01614,                0.06608,                0.01176,                0.00229,                 3.2144,                 5.0843,                 3.8158,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                  3.256,                 5.1844,                  3.789,                0.01664,                0.06828,                 0.0121,                0.00247,                 3.2166,                 5.0556,                 3.8034,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                 3.1793,                 5.2212,                 3.7608,                0.00209,                0.05507,                0.00477,                0.00195,                 3.2188,                  5.049,                 3.7962,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                 3.2943,                 5.2426,                 3.7723,                0.00239,                0.05591,                 0.0067,                0.00293,                 3.2113,                 5.0273,                 3.7892,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                 3.2695,                 5.2402,                 3.7675,                0.00262,                0.05602,                0.00579,                 0.0025,                  3.206,                 5.0153,                 3.7807,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                  3.254,                 5.2119,                 3.7709,                0.00269,                0.05367,                0.00573,                0.00244,                 3.2089,                 5.0095,                 3.7774,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                 3.2368,                 5.1727,                 3.7775,                0.00292,                0.05356,                0.00569,                 0.0024,                 3.2068,                 5.0048,                 3.7748,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                 3.2377,                 5.1708,                 3.7394,                0.00274,                0.05367,                0.00569,                0.00238,                 3.2127,                 5.0041,                 3.7706,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                 3.3099,                 5.1466,                 3.7763,                0.07239,                0.04068,                0.00668,                0.00253,                 3.2133,                 5.0042,                  3.768,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                 3.2629,                  5.201,                 3.7715,                0.00248,                0.05172,                0.00594,                0.00248,                 3.2113,                 4.9997,                 3.7641,             4.7243e-06,             4.7243e-06,             4.7243e-06
                    100,                  3.257,                 5.2632,                 3.8065,                0.00358,                0.05574,                0.00642,                0.00269,                 3.2117,                  5.001,                 3.7656,             3.5462e-06,             3.5462e-06,             3.5462e-06
