                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.1407,                0.60515,                 1.3358,                0.97363,                0.96547,                0.98535,                0.73532,                0.94622,                0.48636,                 1.2349,             0.00045639,             0.00045639,             0.00045639
                     58,                 1.1332,                0.61068,                 1.3432,                0.97149,                0.96315,                0.98021,                0.69126,                  1.063,                0.53443,                 1.3178,              0.0004387,              0.0004387,              0.0004387
                     59,                 1.1069,                0.59232,                 1.3279,                0.97865,                0.95995,                0.98595,                0.73478,                0.97352,                0.48226,                 1.2577,             0.00042102,             0.00042102,             0.00042102
                     60,                 1.1156,                0.59572,                  1.319,                0.97899,                0.96701,                0.98704,                0.70954,                 1.0438,                0.50358,                 1.2997,             0.00040334,             0.00040334,             0.00040334
                     61,                 1.1202,                0.59935,                 1.3312,                0.97242,                0.96002,                0.98529,                0.70513,                  1.053,                0.50683,                 1.3045,             0.00038565,             0.00038565,             0.00038565
                     62,                 1.1085,                0.59641,                 1.3208,                0.98468,                0.96542,                0.98571,                0.71859,                 1.0051,                 0.4872,                 1.2792,             0.00036797,             0.00036797,             0.00036797
                     63,                 1.0963,                0.58038,                 1.3071,                0.98277,                0.95993,                0.98317,                 0.7218,                0.99418,                0.49829,                  1.263,             0.00035028,             0.00035028,             0.00035028
                     64,                 1.0855,                0.58129,                 1.3082,                0.97785,                0.96233,                0.98408,                0.72046,                 1.0185,                0.48807,                  1.284,              0.0003326,              0.0003326,              0.0003326
                     65,                 1.0966,                0.58329,                 1.3237,                0.98432,                0.96042,                 0.9851,                0.71716,                 1.0219,                0.49161,                  1.291,             0.00031492,             0.00031492,             0.00031492
                     66,                  1.078,                0.57965,                 1.3065,                0.98011,                0.96158,                0.98518,                0.73714,                0.95339,                0.46506,                 1.2337,             0.00029723,             0.00029723,             0.00029723
                     67,                 1.0499,                0.56762,                 1.2833,                0.97751,                0.96723,                0.98498,                0.71961,                0.99052,                0.47928,                 1.2771,             0.00027955,             0.00027955,             0.00027955
                     68,                 1.0703,                0.57904,                 1.2999,                0.98111,                0.96664,                0.98583,                0.72895,                0.98219,                0.46947,                 1.2714,             0.00026186,             0.00026186,             0.00026186
                     69,                 1.0606,                0.56596,                  1.284,                0.98199,                0.96868,                0.98703,                0.72842,                0.99277,                0.47069,                 1.2636,             0.00024418,             0.00024418,             0.00024418
                     70,                 1.0395,                0.55243,                 1.2711,                0.98592,                0.96436,                0.98663,                0.74447,                0.93425,                0.45557,                 1.2295,              0.0002265,              0.0002265,              0.0002265
                     71,                0.99134,                0.47386,                 1.2966,                0.98181,                0.95984,                0.98305,                0.71541,                0.99416,                0.48013,                 1.2859,             0.00020881,             0.00020881,             0.00020881
                     72,                0.95355,                 0.4581,                 1.2718,                0.98431,                  0.966,                0.98631,                0.75445,                0.92312,                0.44133,                 1.2184,             0.00019113,             0.00019113,             0.00019113
                     73,                0.94388,                 0.4551,                 1.2696,                0.97705,                0.96945,                0.98384,                 0.7302,                0.95548,                0.46459,                 1.2584,             0.00017344,             0.00017344,             0.00017344
                     74,                0.93984,                0.45013,                 1.2602,                0.98263,                0.96466,                0.98412,                0.72859,                0.96868,                0.46428,                 1.2658,             0.00015576,             0.00015576,             0.00015576
                     75,                0.92721,                0.44705,                  1.262,                0.98092,                0.96949,                0.98523,                0.75028,                0.92575,                0.44262,                 1.2236,             0.00013808,             0.00013808,             0.00013808
                     76,                0.91649,                0.43981,                 1.2425,                 0.9851,                0.96431,                0.98759,                0.75263,                0.92494,                0.43968,                  1.232,             0.00012039,             0.00012039,             0.00012039
                     77,                0.89341,                0.43427,                  1.229,                0.98415,                 0.9618,                0.98496,                0.73673,                0.95425,                0.45948,                 1.2563,             0.00010271,             0.00010271,             0.00010271
                     78,                0.89959,                0.43588,                 1.2373,                 0.9829,                0.96619,                 0.9854,                0.73898,                0.95026,                0.45084,                 1.2668,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     79,                0.89051,                0.43384,                 1.2304,                0.98047,                0.96539,                0.98524,                0.74535,                0.94518,                0.44952,                 1.2568,             6.7342e-05,             6.7342e-05,             6.7342e-05
                     80,                0.88746,                0.42921,                 1.2197,                0.97198,                0.97718,                0.98554,                0.75056,                 0.9279,                 0.4443,                 1.2411,             4.9658e-05,             4.9658e-05,             4.9658e-05
